All Transactions Activity Types

Account Activity for Individual Brokerage -xxxx from Prior Year

Total:,-125305.18

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/11/25,12/11/25,12/11/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,57.1,0.0,--,--
12/11/25,12/11/25,12/11/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,193.48,0.0,--,--
12/04/25,12/04/25,12/04/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1638.28,0.0,--,--
12/04/25,12/04/25,12/04/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1638.28,0.0,--,--
12/04/25,12/04/25,12/04/25,Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,1411.44,0.0,--,--
12/04/25,12/04/25,12/04/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,178.64,0.0,--,--
12/04/25,12/04/25,12/04/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,48.2,0.0,--,--
12/02/25,12/02/25,12/02/25,Service Fee,Mandatory Reorg Fee Reversal - 88636J527,--,--,,,38.0,0.0,--,--
12/01/25,12/01/25,12/01/25,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-37.19,0.0,--,--
12/01/25,12/01/25,12/01/25,Transfer,TRNSFR MARGIN TO CASH,--,--,,,37.19,0.0,--,--
12/01/25,12/01/25,12/01/25,Exchange Received In,YIELDMAX ULTRA OPTION INC EXCHANGE,ULTY,--,2400.0,,0.0,0.0,--,--
12/01/25,12/01/25,12/01/25,Service Fee,YIELDMAX ULTRA OPTION INC MANDATORY REORG FEE,--,--,,,-38.0,0.0,--,--
12/01/25,12/01/25,12/01/25,Exchange Delivered Out,YIELDMAX ULTRA OPTION INC EXCHANGE,--,--,-24000.0,,0.0,0.0,--,--
12/01/25,12/01/25,12/01/25,Qualified Dividend,PETROLEO BRASILEIRO SA,PBR,--,,,0.85,0.0,--,--
12/01/25,12/01/25,12/01/25,MISC,PETROLEO BRASILEIRO SA AGENT CUSTODY FEE $0.0050/SH,PBR,--,,,-0.04,0.0,--,--
12/01/25,12/01/25,12/01/25,Dividend,PETROLEO BRASILEIRO SA ADJ GROSS DIV AMOUNT      0.15 FOREIGN TAX PAID IS       0.15,PBR,--,,,0.0,0.0,--,--
12/01/25,12/01/25,12/01/25,Margin Interest,INT-ADJ 11/01/25 THRU 11/30/25,--,--,,,1.89,0.0,--,--
11/28/25,11/28/25,11/28/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,2333.14,0.0,--,--
11/28/25,11/28/25,11/28/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-2333.14,0.0,--,--
11/28/25,11/28/25,11/28/25,Dividend,GRAYSCALE ETHEREUM COVRD CALL,ETCO,--,,,480.91,0.0,--,--
11/28/25,11/28/25,11/28/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,50.6,0.0,--,--
11/28/25,11/28/25,11/28/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,202.79,0.0,--,--
11/28/25,11/28/25,11/28/25,Substitute Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,1425.6,0.0,--,--
11/28/25,11/28/25,11/28/25,Dividend,REX OSPREY SOL STAKING ETF,SSK,--,,,45.5,0.0,--,--
11/28/25,11/28/25,11/28/25,Dividend,NEOS NASDAQ-100 HIGH INC ETF,QQQI,--,,,63.04,0.0,--,--
11/28/25,11/28/25,11/28/25,Dividend,AMPLIFY CWP ENHANCED DIVIDEN,DIVO,--,,,64.18,0.0,--,--
11/28/25,11/28/25,11/28/25,Dividend,NEOS S&P 500 HIGH INCOME ETF,SPYI,--,,,0.52,0.0,--,--
11/28/25,11/28/25,11/28/25,Margin Interest,Thru 11/30/25 for 30 days,--,--,,,-1098.06,0.0,--,--
11/26/25,11/26/25,11/21/25,Security Sold,OPENDOOR TECH INC SER-Z WTS CASH IN LIEU FRACTIONAL SHARE FULL SHARE PRICE      $1.03,OPENZ,--,,,0.03,0.0,--,--
11/26/25,11/26/25,11/21/25,Security Sold,OPENDOOR TECH INC SER-A WTS CASH IN LIEU FRACTIONAL SHARE FULL SHARE PRICE      $1.20,OPENL,--,,,0.04,0.0,--,--
11/26/25,11/26/25,11/21/25,Security Sold,OPENDOOR TECH INC SER-K WTS CASH IN LIEU FRACTIONAL SHARE FULL SHARE PRICE      $1.84,OPENW,--,,,0.06,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL EPOL   11/21/25    34.000,EPOL,--,3.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL DIVO   11/21/25    45.000,DIVO,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Assigned,CALL RIVN   11/21/25    14.000,RIVN,--,2.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Assigned,PUT  LAR    11/21/25     5.000,LAR,--,10.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL VB     11/21/25   265.000,VB,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL PRGS   11/21/25    47.500,PRGS,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL ICE    11/21/25   160.000,ICE,--,2.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL IJH    11/21/25    66.000,IJH,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Assigned,PUT  UPST   11/21/25    45.000,UPST,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL YBTC   11/21/25    45.000,YBTC,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL QQQ    11/21/25   620.000,QQQ,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Assigned,PUT  ETSY   11/21/25    55.000,ETSY,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL KDK    11/21/25    10.000,KDK,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL SSK    11/21/25    31.000,SSK,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/21/25,Option Expired,CALL VWO    11/21/25    56.000,VWO,--,1.0,,0.0,0.0,--,--
11/24/25,11/24/25,11/24/25,Bought,LITHIUM ARGENTINA AG,LAR,--,1000.0,5.0,-5000.0,0.0,--,--
11/24/25,11/24/25,11/24/25,Sold,RIVIAN AUTOMOTIVE INC CL A,RIVN,--,-200.0,14.0,2799.97,0.0,--,--
11/24/25,11/24/25,11/24/25,Bought,ETSY INC,ETSY,--,100.0,55.0,-5500.0,0.0,--,--
11/24/25,11/24/25,11/24/25,Bought,UPSTART HLDGS INC,UPST,--,100.0,45.0,-4500.0,0.0,--,--
11/20/25,11/20/25,11/20/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1859.03,0.0,--,--
11/20/25,11/20/25,11/20/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1859.03,0.0,--,--
11/20/25,11/20/25,11/20/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,253.18,0.0,--,--
11/20/25,11/20/25,11/20/25,Substitute Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,1540.8,0.0,--,--
11/20/25,11/20/25,11/20/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,65.05,0.0,--,--
11/18/25,11/18/25,11/19/25,Bought To Cover,CALL VWO    11/21/25    56.000,VWO,--,3.0,0.05,-15.05,0.05,--,--
11/14/25,11/14/25,11/14/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,463.06,0.0,--,--
11/14/25,11/14/25,11/14/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-463.06,0.0,--,--
11/14/25,11/14/25,11/14/25,Dividend,GRAYSCALE ETHEREUM COVRD CALL,ETCO,--,,,463.06,0.0,--,--
11/13/25,11/13/25,11/13/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1849.36,0.0,--,--
11/13/25,11/13/25,11/13/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1849.36,0.0,--,--
11/13/25,11/13/25,11/13/25,Substitute Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,1502.4,0.0,--,--
11/13/25,11/13/25,11/13/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,75.3,0.0,--,--
11/13/25,11/13/25,11/13/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,271.66,0.0,--,--
11/12/25,11/12/25,11/13/25,Bought,FRONTIER GROUP HLDGS INC UNSOLICITED TRADE,ULCC,--,100.0,3.96,-396.0,0.0,--,--
11/12/25,11/12/25,11/13/25,Sold Short,CALL IJH    12/19/25    66.000,IJH,--,-1.0,1.5,149.48,0.52,--,--
11/10/25,11/10/25,11/12/25,Bought,PROGRESS SOFTWARE UNSOLICITED TRADE,PRGS,--,100.0,42.1,-4210.0,0.0,--,--
11/06/25,11/06/25,11/06/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,2268.57,0.0,--,--
11/06/25,11/06/25,11/06/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-2268.57,0.0,--,--
11/06/25,11/06/25,11/06/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,271.47,0.0,--,--
11/06/25,11/06/25,11/06/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,87.15,0.0,--,--
11/06/25,11/06/25,11/06/25,Substitute Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,1891.2,0.0,--,--
11/06/25,11/06/25,11/06/25,Qualified Dividend,DELTA AIR LINES INC NEW REC 11/06/25 PAY 11/06/25 RATE 0.00000000 QTY 0.00000000,DAL,--,,,18.75,0.0,--,--
11/06/25,11/06/25,11/07/25,Bought,NEOS NASDAQ-100 HIGH INC ETF UNSOLICITED TRADE,QQQI,--,77.0,54.2,-4173.4,0.0,--,--
11/04/25,11/04/25,11/04/25,Transfer,AMPLIFY CWP ENHANCED DIVIDEN  TRNSFR MARGIN TO CASH,DIVO,--,-300.0,,0.0,0.0,--,--
11/04/25,11/04/25,11/04/25,Transfer,AMPLIFY CWP ENHANCED DIVIDEN  TRNSFR MARGIN TO CASH,DIVO,--,300.0,,0.0,0.0,--,--
11/03/25,11/03/25,11/03/25,Transfer,AMPLIFY CWP ENHANCED DIVIDEN  TRNSFR CASH TO MARGIN,DIVO,--,300.0,,0.0,0.0,--,--
11/03/25,11/03/25,11/03/25,Transfer,AMPLIFY CWP ENHANCED DIVIDEN  TRNSFR CASH TO MARGIN,DIVO,--,-300.0,,0.0,0.0,--,--
11/03/25,11/03/25,10/31/25,Option Expired,CALL AI     10/31/25    18.500,AI,--,1.0,,0.0,0.0,--,--
11/03/25,11/03/25,10/31/25,Option Assigned,CALL UPS    10/31/25    85.000,UPS,--,2.0,,0.0,0.0,--,--
11/03/25,11/03/25,11/03/25,Sold,UNITED PARCEL SER INC CL-B,UPS,--,-200.0,85.0,16999.97,0.0,--,--
11/03/25,11/03/25,11/03/25,Margin Interest,INT-ADJ 10/01/25 THRU 10/31/25,--,--,,,0.03,0.0,--,--
10/31/25,10/31/25,10/31/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,117.96,0.0,--,--
10/31/25,10/31/25,10/31/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-117.96,0.0,--,--
10/31/25,10/31/25,10/31/25,Dividend,REX OSPREY SOL STAKING ETF,SSK,--,,,63.5,0.0,--,--
10/31/25,10/31/25,10/31/25,Dividend,AMPLIFY CWP ENHANCED DIVIDEN,DIVO,--,,,54.46,0.0,--,--
10/31/25,10/31/25,10/31/25,Margin Interest,Thru 10/31/25 for 22 days,--,--,,,-703.04,0.0,--,--
10/31/25,10/31/25,11/03/25,Sold Short,CALL DIVO   11/21/25    45.000,DIVO,--,-1.0,0.4,39.48,0.52,--,--
10/30/25,10/30/25,10/30/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,3023.23,0.0,--,--
10/30/25,10/30/25,10/30/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-3023.23,0.0,--,--
10/30/25,10/30/25,10/30/25,Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,2035.2,0.0,--,--
10/30/25,10/30/25,10/30/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,96.95,0.0,--,--
10/30/25,10/30/25,10/30/25,Dividend,GRAYSCALE ETHEREUM COVRD CALL,ETCO,--,,,623.86,0.0,--,--
10/30/25,10/30/25,10/30/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,267.22,0.0,--,--
10/30/25,10/30/25,10/31/25,Sold Short,CALL QQQ    11/21/25   620.000,QQQ,--,-1.0,18.87,1886.48,0.52,--,--
10/30/25,10/30/25,10/31/25,Bought To Cover,CALL QQQ    10/31/25   606.000,QQQ,--,1.0,23.41,-2341.52,0.52,--,--
10/29/25,10/29/25,10/30/25,Sold Short,CALL RIVN   11/21/25    14.000,RIVN,--,-1.0,0.97,96.48,0.52,--,--
10/29/25,10/29/25,10/30/25,Bought To Cover,CALL VWO    11/21/25    56.000,VWO,--,1.0,0.8,-80.52,0.52,--,--
10/29/25,10/29/25,10/30/25,Bought To Cover,CALL VWO    11/21/25    56.000,VWO,--,5.0,0.85,-427.58,2.58,--,--
10/29/25,10/29/25,10/30/25,Sold Short,CALL VWO    11/21/25    56.000,VWO,--,-10.0,0.9,894.82,5.15,--,--
10/28/25,10/28/25,10/29/25,Bought,YIELDMAX ULTRA OPTION INC UNSOLICITED TRADE,ULTY,--,1000.0,5.07,-5070.0,0.0,--,--
10/28/25,10/28/25,10/29/25,Sold Short,CALL RIVN   11/21/25    14.000,RIVN,--,-1.0,0.9,89.48,0.52,--,--
10/27/25,10/27/25,10/27/25,Online Transfer,ACH WITHDRAWL  REFID:2688091395;,--,--,,,-5000.0,0.0,--,--
10/27/25,10/27/25,10/28/25,Sold Short,CALL KDK    11/21/25    10.000,KDK,--,-1.0,0.5,49.48,0.52,--,--
10/27/25,10/27/25,10/28/25,Sold Short,CALL SSK    11/21/25    31.000,SSK,--,-1.0,2.0,199.48,0.52,--,--
10/27/25,10/27/25,10/28/25,Sold Short,CALL ICE    11/21/25   160.000,ICE,--,-1.0,4.2,419.48,0.52,--,--
10/27/25,10/27/25,10/28/25,Sold Short,CALL ICE    11/21/25   160.000,ICE,--,-1.0,4.0,399.48,0.52,--,--
10/24/25,10/24/25,10/24/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,15.35,0.0,--,--
10/24/25,10/24/25,10/24/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-15.35,0.0,--,--
10/24/25,10/24/25,10/24/25,Dividend,NEOS S&P 500 HIGH INCOME ETF,SPYI,--,,,0.53,0.0,--,--
10/24/25,10/24/25,10/24/25,Dividend,NEOS NASDAQ-100 HIGH INC ETF,QQQI,--,,,14.82,0.0,--,--
10/23/25,10/23/25,10/23/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,2485.94,0.0,--,--
